Unnamed: 0,fare_amount,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,time_category,day_category,cab_category,days_passed,distance_km,shortest_distance_m,travel_time_s,lat_box,lon_box,box_id
1,9.3,2009-01-01 14:31:47+00:00,-73.998807,40.713696,-73.99358000000001,40.752576,1,2,0,0,0,4.34563417117042,5108.0,1190.0,1,0,1_0
2,10.5,2009-01-01 12:46:00+00:00,-73.96243,40.769807,-73.957583,40.75977,5,2,0,1,0,1.1883733736188826,4027.0,785.0,2,1,2_1
3,6.1,2009-01-01 02:46:31+00:00,-73.975759,40.749823,-73.982534,40.738737,1,0,0,0,0,1.358429387560543,1780.0,429.0,1,1,1_1
5,10.1,2009-01-01 10:35:00+00:00,-73.972288,40.761978000000006,-73.984402,40.72959,2,2,0,0,0,3.743180558028185,4805.0,1076.0,2,1,2_1
6,11.0,2009-01-01 02:13:41+00:00,-73.980127,40.737425,-74.00954399999999,40.726025,4,0,0,0,0,2.78402224804631,3898.0,957.0,1,1,1_1
7,7.7,2009-01-01 19:32:00+00:00,-73.968802,40.75411,-73.97957199999999,40.76341,2,3,0,0,0,1.3755910430188982,2595.0,770.0,2,1,2_1
8,6.9,2009-01-01 21:22:00+00:00,-73.970855,40.756282,-73.99034,40.74836,3,3,0,0,0,1.862754091976452,2685.0,828.0,2,1,2_1
9,8.5,2009-01-01 01:15:22+00:00,-73.98191800000001,40.779456,-73.957685,40.771043,2,0,0,0,0,2.244764831625118,3607.0,777.0,2,1,2_1
10,9.3,2009-01-01 12:26:00+00:00,-73.94564799999999,40.801802,-73.97091999999999,40.76282,1,2,0,0,0,4.828700391478051,5083.0,1038.0,2,1,2_1
11,6.5,2009-01-01 16:31:29+00:00,-73.992201,40.737711,-73.981411,40.755313,1,2,0,0,0,2.1580232577316507,3849.0,940.0,1,0,1_0
12,11.3,2009-01-01 13:09:00+00:00,-73.954605,40.769805,-73.965762,40.803558,1,2,0,0,0,3.868920469975728,5617.0,1093.0,2,1,2_1
13,13.0,2009-01-01 01:59:17+00:00,-73.98375899999999,40.721389,-73.994833,40.687179,2,0,0,0,0,3.916841542549657,7656.0,922.0,1,0,1_0
14,6.9,2009-01-01 16:37:00+00:00,-73.97788800000001,40.75811,-73.963233,40.774273,1,2,0,0,0,2.180213225451368,2953.0,720.0,2,1,2_1
15,4.9,2009-01-01 14:21:47+00:00,-73.942654,40.790552000000005,-73.950473,40.777078,1,2,0,0,0,1.6364918980569891,1740.0,312.0,2,1,2_1
16,10.6,2009-01-01 02:05:03+00:00,-73.95663499999999,40.771254,-73.991528,40.749778000000006,2,0,0,0,0,3.786736353924751,5978.0,1178.0,2,1,2_1
17,5.8,2009-01-01 21:51:45+00:00,-73.975104,40.790126,-73.966697,40.803978,2,3,0,0,0,1.6950671028734026,1715.0,393.0,2,1,2_1
19,10.1,2009-01-01 14:15:00+00:00,-73.982452,40.73144,-73.989248,40.764827,1,2,0,0,0,3.756347304083652,5222.0,1285.0,1,0,1_0
20,4.9,2009-01-01 16:17:11+00:00,-73.988906,40.736729,-73.981043,40.74709,1,2,0,0,0,1.3289614067942777,1329.0,329.0,1,0,1_0
22,4.5,2009-01-01 16:16:00+00:00,-73.979602,40.743568,-73.991972,40.748805,5,2,0,1,0,1.1937455636260643,1262.0,450.0,1,1,1_1
23,8.5,2009-01-01 17:19:56+00:00,-73.9726,40.749377,-73.98139300000001,40.721997,1,1,0,0,0,3.1333617615132363,4526.0,622.0,1,1,1_1
25,9.0,2009-01-01 04:30:00+00:00,-73.978139,40.729278,-73.992227,40.74873,1,0,0,0,0,2.467229351751957,3624.0,905.0,1,1,1_1
27,13.7,2009-01-01 23:45:00+00:00,-73.982683,40.723062,-73.93611,40.75439,3,0,0,0,0,5.247046117844405,7809.0,1339.0,1,0,1_0
28,6.9,2009-01-01 12:58:00+00:00,-73.985128,40.723848,-73.991025,40.742053000000006,1,2,0,0,0,2.084392039665212,2978.0,726.0,1,0,1_0
29,6.5,2009-01-01 18:15:36+00:00,-73.986143,40.758396000000005,-73.987727,40.739858,2,1,0,0,0,2.065645741424798,3690.0,969.0,2,0,2_0
32,14.1,2009-01-01 21:51:00+00:00,-73.956715,40.767663,-74.00291700000001,40.733507,1,3,0,0,0,5.437968367555534,7871.0,1229.0,2,1,2_1
34,6.9,2009-01-01 12:33:40+00:00,-73.973905,40.764441,-73.956406,40.784593,1,2,0,0,0,2.6818771665234618,3016.0,575.0,2,1,2_1
35,10.9,2009-01-01 15:40:00+00:00,-73.95300300000001,40.768202,-73.981765,40.731067,2,2,0,0,0,4.787555089687555,5807.0,688.0,2,1,2_1
36,4.5,2009-01-01 11:46:00+00:00,-73.98844,40.740365,-73.986823,40.730197,1,2,0,0,0,1.1388090752240427,1591.0,374.0,1,0,1_0
37,10.5,2009-01-01 14:57:34+00:00,-73.982289,40.728701,-74.00428000000001,40.710264,1,2,0,0,0,2.763636546694504,4092.0,1046.0,1,0,1_0
39,7.7,2009-01-01 19:24:52+00:00,-73.962266,40.779096,-73.975849,40.752208,2,3,0,0,0,3.2011760154197395,3631.0,921.0,2,1,2_1
42,5.3,2009-01-01 19:39:00+00:00,-73.998573,40.745217,-73.983373,40.744223,3,3,0,0,0,1.285271156012826,1700.0,437.0,1,0,1_0
43,6.5,2009-01-01 17:52:00+00:00,-73.97346999999999,40.762948,-73.989285,40.759858,1,1,0,0,0,1.3755877489661124,2317.0,742.0,2,1,2_1
45,7.8,2009-01-01 20:00:13+00:00,-73.980338,40.766303,-73.975158,40.745811,2,3,0,0,0,2.3200029333527348,3287.0,851.0,2,1,2_1
47,5.7,2009-01-01 19:02:00+00:00,-73.997875,40.724217,-73.994793,40.713878,2,3,0,0,0,1.1786208939282945,1736.0,508.0,1,0,1_0
49,5.7,2009-01-01 23:02:00+00:00,-74.005077,40.72065,-73.986923,40.715958,2,0,0,0,0,1.6164836978612735,1820.0,616.0,1,0,1_0
50,6.1,2009-01-01 20:37:55+00:00,-73.967279,40.763312,-73.980449,40.742468,1,3,0,0,0,2.5695576995647205,3438.0,826.0,2,1,2_1
51,10.1,2009-01-01 17:52:00+00:00,-73.98249200000001,40.757212,-73.99736999999999,40.71937,3,1,0,0,0,4.390578244855297,5312.0,1305.0,2,0,2_0
52,12.2,2009-01-01 02:09:13+00:00,-73.984605,40.72802,-73.95574599999999,40.77683,1,0,0,0,0,5.946956892037179,7124.0,1124.0,1,0,1_0
55,6.1,2009-01-01 20:30:00+00:00,-73.972263,40.745722,-73.955455,40.76876,1,3,0,0,0,2.9268720292529045,3537.0,682.0,1,1,1_1
57,14.2,2009-01-01 05:30:48+00:00,-74.002616,40.600037,-73.956645,40.609451,1,0,0,0,0,4.019618704123855,4662.0,1120.0,0,0,0_0
58,9.3,2009-01-01 12:03:00+00:00,-73.96762199999999,40.80199,-73.94117800000001,40.788587,1,2,0,0,0,2.678890252752692,3477.0,827.0,2,1,2_1
59,13.0,2009-01-01 21:15:39+00:00,-73.98982,40.756642,-73.977597,40.721436,3,3,0,0,0,4.047912364312699,6175.0,1160.0,2,0,2_0
60,7.3,2009-01-01 19:43:29+00:00,-73.986875,40.777406,-73.95907199999999,40.769105,1,3,0,0,0,2.516615392391268,3288.0,716.0,2,0,2_0
61,7.8,2009-01-01 04:07:28+00:00,-73.990737,40.730586,-73.977891,40.751837,1,0,0,0,0,2.5990505831182946,2636.0,642.0,1,0,1_0
62,7.7,2009-01-01 15:13:51+00:00,-73.986937,40.756585,-73.994463,40.733073,1,2,0,0,0,2.6901947022845643,3279.0,770.0,2,0,2_0
63,8.5,2009-01-02 17:24:31+00:00,-73.974977,40.755652000000005,-73.998832,40.744656,1,1,0,0,1,2.352232149019768,3751.0,977.0,2,1,2_1
64,12.2,2009-01-02 23:38:22+00:00,-73.993768,40.721181,-73.965896,40.683399,2,0,0,0,1,4.81354104739591,5775.0,1081.0,1,0,1_0
66,4.5,2009-01-02 06:59:56+00:00,-73.977152,40.747133000000005,-73.985496,40.741539,1,0,0,0,1,0.9386342345251052,1336.0,352.0,1,1,1_1
67,5.8,2009-01-02 23:45:51+00:00,-73.990963,40.761082,-73.977941,40.754519,2,0,0,0,1,1.3174068844894102,1517.0,538.0,2,0,2_0
72,6.5,2009-01-02 22:47:00+00:00,-73.977092,40.757463,-73.988523,40.736905,1,3,0,0,1,2.480490794103502,3187.0,890.0,2,1,2_1
73,9.7,2009-01-02 15:03:00+00:00,-73.974503,40.764647,-73.992213,40.733207,5,2,0,1,1,3.800982243997937,4473.0,1117.0,2,1,2_1
74,12.9,2009-01-02 18:56:00+00:00,-73.963402,40.76351,-73.992273,40.749155,1,1,0,0,1,2.908856626557657,4007.0,1117.0,2,1,2_1
75,9.4,2009-01-02 23:15:39+00:00,-74.000778,40.729642,-73.986,40.755897,4,0,0,0,1,3.1738057481592103,4660.0,1194.0,1,0,1_0
76,9.7,2009-01-02 22:52:00+00:00,-73.981165,40.774217,-73.950182,40.778133,5,3,0,1,1,2.644988153998592,4720.0,994.0,2,1,2_1
78,13.3,2009-01-03 00:20:49+00:00,-74.007502,40.715543,-73.98912,40.730019,1,0,1,0,1,2.2339792131208047,3715.0,871.0,1,0,1_0
79,9.3,2009-01-02 20:35:00+00:00,-73.978652,40.728678,-74.010207,40.716697,2,3,0,0,1,2.9742533482700133,4141.0,1020.0,1,1,1_1
80,10.1,2009-01-02 23:08:00+00:00,-74.005455,40.740825,-73.977498,40.756527,4,0,0,0,1,2.9316918118406,4146.0,1052.0,1,0,1_0
82,13.3,2009-01-03 00:06:00+00:00,-73.972403,40.751645,-73.96556,40.792982,2,0,1,0,1,4.632444651828366,7164.0,1011.0,2,1,2_1
83,10.1,2009-01-02 07:21:39+00:00,-73.96148199999999,40.764459,-73.991651,40.74969,1,0,0,0,1,3.0255692414759734,4092.0,1170.0,2,1,2_1
84,10.2,2009-01-03 00:07:36+00:00,-73.98966999999999,40.760591,-74.001038,40.729128,1,0,1,0,1,3.6272363747155727,4917.0,1196.0,2,0,2_0
85,7.9,2009-01-02 19:07:24+00:00,-73.954788,40.778008,-73.967481,40.793143,2,3,0,0,1,1.993562094455218,2831.0,577.0,2,1,2_1
86,14.9,2009-01-02 12:26:28+00:00,-73.94985600000001,40.776137,-73.94095899999999,40.752717,1,2,0,0,1,2.7098389212849217,5401.0,987.0,2,1,2_1
87,6.1,2009-01-02 06:44:31+00:00,-73.99354,40.756915,-73.987099,40.739454,1,0,0,0,1,2.015964655378257,2872.0,696.0,2,0,2_0
88,5.7,2009-01-02 13:04:24+00:00,-73.96209300000001,40.776096,-73.965349,40.766236,1,2,0,0,1,1.1301475002123873,1403.0,353.0,2,1,2_1
89,9.3,2009-01-02 07:21:00+00:00,-73.983085,40.729027,-74.006095,40.707702000000005,1,0,0,0,1,3.063222166069901,6834.0,961.0,1,0,1_0
